爱情,56,55.92,2014/9/12,0.5的爱情,2014/9/12,0.5的爱情,0.5的爱情,蒲巴甲,北京帧画影视文化传播有限公司;,河北志宝文化传媒有限公司,邢潇;,
动作/冒险/惊悚,37614.2,37595.6,2013/1/20,007：大破天幕杀机,2013/1/21,007：大破天幕杀机,007：大破天幕杀机,本·威士肖,华夏电影发行有限责任公司;,哥伦比亚影片公司,萨姆·门德斯;,
动作/冒险/惊悚/悬疑,54205.7,54161.12,2015/11/12,007：幽灵党,2015/11/13,007：幽灵党,007：幽灵党,本·威士肖,哥伦比亚影片公司,哥伦比亚影片公司,萨姆·门德斯;,
爱情,20000.8,19990.86,2013/1/3,101次求婚,2013/2/12,101次求婚,101次求婚,秦海璐,新丽传媒股份有限公司,富士电视台,陈正道;,
爱情,177,173.69,2015/9/4,1980年代的爱情,2015/9/11,1980年代的爱情,1980年代的爱情,杨采钰,乐视影业（北京）有限公司,上海大盈影视文化传播有限公司,霍建起;,
灾难/动作/惊悚,,13688.44,2013/1/3,2012 3D,2012/11/20,2012 3D,2012 3D,约翰·库萨克,华夏电影发行有限责任公司;,哥伦比亚影片公司,罗兰·艾默里奇;,
,,,,,,,2012喜上加喜,张坚庭,,邵氏兄弟（香港）有限公司,钱国伟,
,,,,,,,2012来了,黄小蕾,北京云影博纳影视发行有限公司;,北京艾柏文化传媒有限公司;,邢潇;,
爱情,1325.2,1324.84,2012/12/31,201314,2013/1/1,201314,201314,王璐瑶,,北京泛亚视觉文化传播有限公司,孔令晨;,
爱情,54.7,54.73,2013/12/31,201413,2014/1/1,201413,201413,杜海涛,北京新影联影业有限责任公司,北京富宇世纪文化传媒有限公司,卫捷,
爱情,89.8,130.34,2014/4/18,201413爱你一世一生,2014/4/18,201413爱你一世一生,201413爱你一世一生,李小萌,北京剧角映画文化传媒有限公司;,西安索宝影视文化传媒有限公司,何振华,
喜剧,174.5,170.22,2014/11/21,21岁派对,2014/11/21,21岁派对,21岁派对,迈尔斯·特勒,华夏电影发行有限责任公司;,idg中国媒体基金;,斯考特·摩尔,
,,244.23,2016/9/23,234说爱你,,,234说爱你,秦昊,中国电影集团公司;,凯擘影艺股份有限公司,张玮真;,
爱情/青春,49.2,53.58,2014/12/23,37次想你,2014/12/24,37次想你,37次想你,白冰,北京大势渡文化传媒,四川峨影影视传播有限责任公司,郭廷波;,
惊悚/科幻/灾难,2260,2255.27,2014/10/7,3D食人虫,2014/10/10,3D食人虫,3D食人虫,王传君,广州美亚华天下电影发行有限公司,深圳市金海岸影业有限公司,严嘉;,
喜剧/爱情,452.3,451.02,2013/9/9,4B青年之4楼B座,2013/9/10,4B青年之4楼B座,4B青年之4楼B座,姜超,北京安石英纳电影发行公司;,深圳市金海岸影业有限公司,孙达;,
纪录片/音乐/歌舞,2089.6,2083.85,2013/9/16,5月天诺亚方舟,2013/9/19,5月天诺亚方舟,5月天诺亚方舟,言承旭,,相信音乐唱片公司;,刘名峰;,
爱情/剧情/青春/励志,42.7,42.65,2016/5/19,708090之深圳恋歌,2016/5/20,708090之深圳恋歌,708090之深圳恋歌,陈锐,北京华信博文化传媒有限公司,美亚电影制作有限公司,邓鉴泉,
,,,,,,,72家租客 2011,林峯,,邵氏兄弟（香港）有限公司;,曾志伟,
剧情/青春/励志,39.7,39.74,2014/2/18,80后的独立宣言,2014/2/21,80后的独立宣言,80后的独立宣言,侯勇,华夏电影发行有限责任公司;,浙江浙影年代文化传播有限公司;,森岛;,
动画,2515.7,2518.06,2013/9/28,81号农场之保卫麦咭,2013/9/28,81号农场之保卫麦咭,81号农场之保卫麦咭,,上海河马动画设计股份有限公司,上海河马动画设计股份有限公司,徐克;,
动画,1878,1875.32,2014/9/29,81号农场之疯狂的麦咭,2014/10/1,81号农场之疯狂的麦咭,81号农场之疯狂的麦咭,,上海电影（集团）有限公司,上海河马动画设计股份有限公司,徐克,
