0.5的爱情,爱情,2014/9/12,蒲巴甲,北京帧画影视文化传播有限公司;,河北志宝文化传媒有限公司,邢潇;,,56,1,1
007：大破天幕杀机,动作/冒险/惊悚,2013/1/21,本·威士肖,华夏电影发行有限责任公司;,哥伦比亚影片公司,萨姆·门德斯;,,37614.2,1,1
007：幽灵党,动作/冒险/惊悚/悬疑,2015/11/13,本·威士肖,哥伦比亚影片公司,哥伦比亚影片公司,萨姆·门德斯;,,54205.7,1,1
101次求婚,爱情,2013/2/12,秦海璐,新丽传媒股份有限公司,富士电视台,陈正道;,,20000.8,1,1
1980年代的爱情,爱情,2015/9/11,杨采钰,乐视影业（北京）有限公司,上海大盈影视文化传播有限公司,霍建起;,,177,1,1
2012 3D,灾难/动作/惊悚,2012/11/20,约翰·库萨克,华夏电影发行有限责任公司;,哥伦比亚影片公司,罗兰·艾默里奇;,,13688.44,2,1
201314,爱情,2013/1/1,王璐瑶,,北京泛亚视觉文化传播有限公司,孔令晨;,,1325.2,1,1
201413,爱情,2014/1/1,杜海涛,北京新影联影业有限责任公司,北京富宇世纪文化传媒有限公司,卫捷,,54.7,1,1
201413爱你一世一生,爱情,2014/4/18,李小萌,北京剧角映画文化传媒有限公司;,西安索宝影视文化传媒有限公司,何振华,,89.8,1,1
21岁派对,喜剧,2014/11/21,迈尔斯·特勒,华夏电影发行有限责任公司;,idg中国媒体基金;,斯考特·摩尔,,174.5,1,1
234说爱你,,2016/9/23,秦昊,中国电影集团公司;,凯擘影艺股份有限公司,张玮真;,,244.23,2,2
37次想你,爱情/青春,2014/12/24,白冰,北京大势渡文化传媒,四川峨影影视传播有限责任公司,郭廷波;,,49.2,1,1
3D食人虫,惊悚/科幻/灾难,2014/10/10,王传君,广州美亚华天下电影发行有限公司,深圳市金海岸影业有限公司,严嘉;,,2260,1,1
4B青年之4楼B座,喜剧/爱情,2013/9/10,姜超,北京安石英纳电影发行公司;,深圳市金海岸影业有限公司,孙达;,,452.3,1,1
5月天诺亚方舟,纪录片/音乐/歌舞,2013/9/19,言承旭,,相信音乐唱片公司;,刘名峰;,,2089.6,1,1
708090之深圳恋歌,爱情/剧情/青春/励志,2016/5/20,陈锐,北京华信博文化传媒有限公司,美亚电影制作有限公司,邓鉴泉,,42.7,1,1
80后的独立宣言,剧情/青春/励志,2014/2/21,侯勇,华夏电影发行有限责任公司;,浙江浙影年代文化传播有限公司;,森岛;,,39.7,1,1
81号农场之保卫麦咭,动画,2013/9/28,,上海河马动画设计股份有限公司,上海河马动画设计股份有限公司,徐克;,,2515.7,1,1
81号农场之疯狂的麦咭,动画,2014/10/1,,上海电影（集团）有限公司,上海河马动画设计股份有限公司,徐克,,1878,1,1
9号女神,爱情,2014/1/9,周帅,,西安一路阳光影视文化有限责任公司,章明;,,5.1,1,1
B+侦探,,2013/1/10,林雪,寰宇影片发行有限公司,香港银都机构有限公司,彭顺;,,2502.11,2,2
B区32号,,2013/1/4,邓紫衣,北京春秋时代文化有限公司,北京春秋时代文化有限公司,吕建民;,,1245,2,2
Hello！树先生！,,2014/9/6,王宝强,上海电影股份有限公司影视发行分公司;,上海电影（集团）有限公司,韩杰;,,222.2,2,2
