0.5的爱情,﻿爱情,2014/9/12,蒲巴甲;李悦铭;江语晨;龚洁;,北京帧画影视文化传播有限公司;,河北志宝文化传媒有限公司;北京上视之光影视科技有限公司;,邢潇;,,56,1,1
007：大破天幕杀机,动作/冒险/惊悚,2013/1/21,本·威士肖;丹尼尔·克雷格;拉尔夫·费因斯;海伦·麦克洛瑞;奥拉·拉佩斯;贝纳尼丝·玛尔洛;玛吉·史密斯;娜奥米·哈里斯;朱迪·丹奇;阿尔伯特·芬尼;哈维尔·巴登;迈克尔·g·威尔逊;,华夏电影发行有限责任公司;,哥伦比亚影片公司;联美电影公司;MGM-International Dist. ;,萨姆·门德斯;,,37614.2,1,1
007：幽灵党,动作/冒险/惊悚/悬疑,2015/11/13,本·威士肖;丹尼尔·克雷格;拉尔夫·费因斯;梶冈润一;娜奥米·哈里斯;斯黛芬尼·西格曼;亚历克斯·马丁;克里斯托弗·瓦尔兹;加斯帕·克里斯滕森;戴夫·巴蒂斯塔;丹尼斯·科洛斯克;安德鲁·斯科特;罗里·金尼尔;蕾雅·赛杜;莫妮卡·贝鲁奇;,哥伦比亚影片公司;华夏电影发行有限责任公司;索尼发行公司;环球影业公司;Sony Pictures Entertainment Inc. ;,哥伦比亚影片公司;米高梅电影公司;Danjaq Productions ;,萨姆·门德斯;,,54205.7,1,1
101次求婚,爱情,2013/2/12,秦海璐;黄渤;高以翔;林志玲;武田铁矢;,新丽传媒股份有限公司;北京联瑞影业有限公司;,富士电视台;威秀电影亚洲有限公司;海宁亚细亚传媒有限公司;,陈正道;,,20000.8,1,1
1980年代的爱情,爱情,2015/9/11,杨采钰;芦芳生;,乐视影业（北京）有限公司;北京微影时代科技有限公司;,上海大盈影视文化传播有限公司;中天集团（甘肃）;恩比理（上海）投资咨询有限公司;利川市龙船调影视传媒公司;中共利川市委宣传部;北京达智兴盛文化传媒有限公司;,霍建起;,,177,1,1
2012 3D,灾难/动作/惊悚,2012/11/20,约翰·库萨克;奥利弗·普莱特;毕崔斯·罗森;亚历山德烈·豪斯曼;阿曼达·皮特;汤姆·麦卡锡;桑迪·纽顿;摩根·莉莉;伍迪·哈里森;切瓦特·埃加福特;连姆·詹姆斯;丹尼·格洛弗;,华夏电影发行有限责任公司;,哥伦比亚影片公司;The Mark Gordon Company ;,罗兰·艾默里奇;,,13688.440000,2,1
201314,爱情,2013/1/1,王璐瑶;姜潮;金晨;牛群;芷玄;郭鑫;郭晓然;,,北京泛亚视觉文化传播有限公司;北京富宇世纪文化传媒有限公司;上海鹏锦影视文化有限公司;北京无限自在文化传播有限公司;,孔令晨;,,1325.2,1,1
201413,爱情,2014/1/1,杜海涛;彭波;姜潮;李维嘉;连晋;韩英群;刘萌萌;夏一瑶;沈婷婷;,北京新影联影业有限责任公司;福建恒业影业有限公司;北京百思艺腾文化传播有限公司;,北京富宇世纪文化传媒有限公司;广西电影集团有限公司;广西新农合投资发展有限公司;北京百思必达营销策划机构;,卫捷;赵艺然;,,54.7,1,1
201413爱你一世一生,爱情,2014/4/18,李小萌;邹东孝;盖玺;陈奕静;黄一飞;朱咪咪;刘碧荷;尹田;,北京剧角映画文化传媒有限公司;,西安索宝影视文化传媒有限公司;陕西中博投资集团;陕西大中博文化传媒有限公司;荷亭听雨（北京）文化发展有限公司;北京华映世纪民族电影电视剧制作中心;三亚嘉溢影视传媒有限公司;,何振华;麦咏麟;唐文湘;,,89.8,1,1
21岁派对,喜剧,2014/11/21,迈尔斯·特勒;斯盖拉·阿斯丁;丹尼尔·哈奈特;莎拉·麦森;乔纳森·凯兹;丹尼尔·博克;拉塞尔·霍奇金森;杰夫t·布科;贾斯汀·钱;邦妮·本特利;琼斯·罗兰;,华夏电影发行有限责任公司;,idg中国媒体基金;,斯考特·摩尔;乔恩·卢卡斯;,,174.5,1,1
234说爱你,,2016/9/23,秦昊;林依晨;蔡淑臻;简宏霖;周姮吟;曾佩瑜;,中国电影集团公司;,凯擘影艺股份有限公司;台湾凯擘影艺股份有限公司;台湾美升国际影业股份有限公司;台湾瀚草影视文化事业有限公司;台湾和宽摄影器材有限公司;,张玮真;,,244.230000,2,2
37次想你,爱情/青春,2014/12/24,白冰;付辛博;吉杰;谭维维;钟伟强;傅颖;,北京大势渡文化传媒;水母互动（天津）科技有限公司;,四川峨影影视传播有限责任公司;成都宁歌文化传播有限公司;北京蓝白红文化传媒有限公司;,郭廷波;,,49.2,1,1
3D食人虫,惊悚/科幻/灾难,2014/10/10,王传君;曹云金;夏梓桐;张梓琳;,广州美亚华天下电影发行有限公司;珠江影业传媒股份有限公司;,深圳市金海岸影业有限公司;美亚长城传媒（北京）有限公司;珠江影业传媒股份有限公司;北京东方画面影业有限公司;,严嘉;,,2260,1,1
4B青年之4楼B座,喜剧/爱情,2013/9/10,姜超;蒲巴甲;董立范;付辛博;孔二狗;夏梓桐;彭宇;陈雅丽;郑浩南;傅颖;刘心悠;田子田;,北京安石英纳电影发行公司;,深圳市金海岸影业有限公司;北京综艺星皓文化传播有限公司;北京文华东润投资有限公司;九龙品天（北京）文化传播有限公司;渝乐（北京）文化传媒有限公司;,孙达;,,452.3,1,1
5月天诺亚方舟,纪录片/音乐/歌舞,2013/9/19,言承旭;林依晨;石头;玛莎;陈信宏;怪兽;林晖闵;冠佑;,,相信音乐唱片公司;,刘名峰;,,2089.6,1,1
708090之深圳恋歌,爱情/剧情/青春/励志,2016/5/20,陈锐;赵奕欢;赵晨妍;吕良伟;温碧霞;李凤鸣;宋智孝;万里;李东瀚;吴克羣;多亮;刘锡贤;商侃;,北京华信博文化传媒有限公司;深圳同盈股权投资基金管理有限公司;,美亚电影制作有限公司;深圳同盈股权投资基金管理有限公司;深圳市美亚文化传播有限公司;深圳优美影视制作有限公司;,邓鉴泉;林依琦;陈木川;,,42.7,1,1
80后的独立宣言,剧情/青春/励志,2014/2/21,侯勇;许还山;李洪涛;张佳宁;张浩天;刘帅良;杨冬;何赛飞;马德华;苏晴;曹炳琨;,华夏电影发行有限责任公司;,浙江浙影年代文化传播有限公司;,森岛;,,39.7,1,1
81号农场之保卫麦咭,动画,2013/9/28,,上海河马动画设计股份有限公司;上海炫动传播股份有限公司;,上海河马动画设计股份有限公司;湖南金鹰卡通有限公司;上海炫动传播股份有限公司;上海视金石动画有限公司;,徐克;,,2515.7,1,1
81号农场之疯狂的麦咭,动画,2014/10/1,,上海电影（集团）有限公司;幻克影业;,上海河马动画设计股份有限公司;湖南电视台金鹰卡通卫视;上海全土豆网络科技有限公司;,徐克;赵文杰;,,1878,1,1
9号女神,爱情,2014/1/9,周帅;冯家妹;吕星辰;,,西安一路阳光影视文化有限责任公司;陕西太和实业集团有限公司;,章明;,,5.1,1,1
B+侦探,,2013/1/10,林雪;龚蓓苾;王梓一;谭耀文;廖启智;郭富城;黄又南;谷祖琳;刘浩龙;林司敏;原丽淇;徐正曦;张兆辉;,寰宇影片发行有限公司;北京光线影业有限公司;,香港银都机构有限公司;寰宇娱乐有限公司;,彭顺;,,2502.110000,2,2
B区32号,,2013/1/4,邓紫衣;李锐;唐宸禹;,北京春秋时代文化有限公司;福建恒业影业有限公司;上海炫映影视传播有限公司;,北京春秋时代文化有限公司;福建恒业影业有限公司;,吕建民;,,1245.000000,2,2
Hello！树先生！,,2014/9/6,王宝强;何洁;谭卓;李京怡;王大治;白培将;,上海电影股份有限公司影视发行分公司;,上海电影（集团）有限公司;北京西河星汇数字娱乐技术有限公司;,韩杰;,,222.200000,2,2
Hi，高考君,剧情/喜剧,2016/8/19,王楚;倪景阳;孙松;高亚麟;郑卫莉;郭东文;董慧;张恩齐;周文;,国家新闻出版广电总局电影卫星频道节目制作中心;辽宁中影北方电影院线有限责任公司;,国家新闻出版广电总局电影卫星频道节目制作中心;电影频道节目制作中心;北京三鸿门文化传播有限公司;北京三鸿门文化有限公司;,张馨;,,31.1,1,1
HOLD住爱,,2016/2/18,周秀娜;王骁;冯丹滢;吴依琳;曾志伟;刘恺威;吴岱融;王景春;钟舒漫;,北京橙天嘉禾影视制作有限公司;广州金逸影视传媒股份有限公司;大地时代电影发行（北京）有限公司;万达影视传媒有限公司;,大地时代电影文化传播(北京)有限公司;广州金逸影视传媒股份有限公司;万达影视传媒有限公司;,张琦;,,4413.650000,2,2
U盘,喜剧,2014/1/31,董立范;唐爱国;辛凯;阿速;小么哥;田昊;魏婷婷;杨蕊;肖雨雨;颜冠英;白云;杨珑;,山东龙视天下传媒集团有限公司;,神州金马影视文化传媒;山东龙视天下传媒集团有限公司;,徐志强;,,40.5,1,1
X战警：天启,动作/科幻/冒险,2016/6/3,托马斯·雷玛奎斯;斯坦·李;柯蒂·斯密特-麦菲;卢卡斯·提尔;伊万·彼得斯;奥斯卡·伊萨克;尼古拉斯·霍尔特;奥立薇娅·玛恩;詹姆斯·麦卡沃伊;迈克尔·法斯宾德;詹妮弗·劳伦斯;索菲·特纳;泰尔·谢里丹;亚历山德拉·西普;萝丝·拜恩;本·哈迪;拉娜·孔多尔;乔什·赫尔曼;乔·科布登;,20世纪福克斯电影公司;华夏电影发行有限责任公司;Odeon ;Twentieth Century Fox C.I.S. ;Westec Media Limited ;Big Picture 2 Films ;二十世纪福斯电影公司;二十世纪福斯公司;20世纪福克斯阿根廷分公司;SF Film Finland ;Sena ;二十世纪福斯德国分公司;华纳兄弟公司;二十世纪福斯荷兰分公司;20th Century Fox de Chile ;Blitz Film & Video Distribution ;20,20世纪福克斯电影公司;TSG Entertainment ;二十世纪福斯电影公司;漫威娱乐;Donners' Company ;Bad Hat Harry Productions ;Mel's Cite du Cinema ;Kinberg Genre ;,布莱恩·辛格;,斯坦·李;布莱恩·辛格;西蒙·金伯格;劳伦·舒勒·唐纳;约翰·奥特曼;todd hallowell;josh mclaglen;kathleen mcgill;,80267.9,1,1
X战警：逆转未来,科幻/动作/冒险,2014/5/23,范冰冰;休·杰克曼;安娜·帕奎因;奥马·希;彼特·丁拉基;哈莉·贝瑞;丹尼尔·库德摩尔;拉里·戴;艾伦·佩基;卢卡斯·提尔;伊万·彼得斯;尼古拉斯·霍尔特;伊恩·麦克莱恩;詹姆斯·麦卡沃伊;波波·斯图尔特;肖恩·阿什莫;迈克尔·法斯宾德;帕特里克·斯图尔特;詹妮弗·劳伦斯;,华夏电影发行有限责任公司;,20世纪福克斯电影公司;美国漫威影业公司;,布莱恩·辛格;,,72296.8,1,1
一万年以后,动作,2015/3/27,,北京国龙影业发行股份有限公司;,深圳一立动画影业有限公司;深圳市马荣天使投资有限公司;,易立;,,2777.4,1,1
一个人的恋情,爱情,2015/12/15,,,海莱坞影视发展有限公司;浙江海缘影视有限公司;,李建林;,,0,1,1
一个人的武林,动作/悬疑/警匪/功夫/爱情,2014/10/31,王宝强;杨采妮;白冰;释延能;喻亢;吴浩康;姜大卫;甄子丹;思漩;王嘉慧;黄伟辉;陈伟雄;张文杰;方中信;樊少皇;,华谊兄弟传媒股份有限公司;英皇电影发行（北京）有限公司;,华谊兄弟传媒股份有限公司;英皇电影有限公司;北京银梦影视艺术有限公司;英皇电影发行（北京）有限公司;太阳娱乐文化有限公司;北京世纪千和文化投资有限公司;,陈德森;,,11891.7,1,1
