北京帧画影视文化传播有限公司,56.0;2013.8;,2
华夏电影发行有限责任公司,37614.2;13688.44;174.5;39.7;72296.8;28924.1;6289.8;16064.6;588.1;16162.86;2382.4;1028.3;11041.6;11.6;49.3;1259.2;8506.3;9079.3;17019.8;880.0;60.5;126800.1;433.5;8.8;60463.31;2.7;66.0;70.3;78.7;332.1;9.9;4320.0;29830.8;18.1;61.46;72.8;6140.2;6149.3;990.3;2766.0;11981.9;224.98;840.6;19875.0;168.1;82.0;32.3;27.31;32304.4;16728.54;6271.2;197756.5;1308.2;107.2;62882.1;5941.4;139.6;53028.3;10358.7;48142.1;76116.5;1153.6;19506.7;19234.2;23.0;36.3;1021.4;2971.0;43560.3;993.3;3682.7;248.9;56847.56;146437.6;66.54;2536.2;147.2;1023.4;35993.48;1413.4;1025.4;1177.3;3639.3;8.3;12160.3;410.6;13.8;59.9;817.4;2225.1;4021.4;6338.3;330.1;308.29;345.5;32.72;13875.9;8282.2;3255.0;280.0;28387.3;150.8;105.4;2848.8;52.75;4703.4;48521.5;1428.37;2114.45;5478.4;9986.1;948.0;31.3;9759.2;40923.18;25977.43;27539.35;5347.6;15953.0;20999.2;113.6;6305.9;886.5;1035.4;17726.8;268.8;652.9;85.4;6319.2;332.4;35939.6;16180.7;2419.3;57.2;1230.4;1796.7;23788.0;3637.7;3.5;440.3;621.8;26.0;1049.28;2628.4;417.45;230.97;7746.3;1.3;17336.7;8.64;1710.4;11845.4;40642.0;82538.7;35320.1;88285.7;703.5;4697.9;68.0;28437.1;62967.4;2114.1;15976.4;41168.0;11295.4;801.3;209.4;10.2;541.36;50.3;14696.0;29624.8;7091.8;756.3;784.2;2642.0;25410.75;25329.2;240.7;51102.9;105.5;111783.6;4997.1;44470.4;30482.3;8.9;116014.5;38703.7;32.8;65.9;60.63;211.7;0.1;11618.9;33806.1;8145.2;413.5;70925.2;159.5;48450.1;69530.9;2221.0;153030.3;39472.8;20433.3;38916.0;2433.4;1762.0;14163.31;67.0;4711.2;83.0;273.5;779.73;16134.9;3739.0;5998.1;15064.1;10530.9;30823.3;3531.5;17291.6;197.8;7324.9;400.6;96.5;447.0;10223.3;73388.7;124617.0;2083.1;20887.8;19.1;1048.3;2891.0;4923.2;5473.3;33660.4;37740.8;1305.4;67174.4;3244.9;662.5;61912.3;1788.9;213.45;210.7;848.4;6233.0;58559.1;52634.6;37.3;12586.7;39.1;778.0;13493.53;13309.2;19.5;1596.15;41372.8;242654.8;14850.2;22.3;3658.2;8.5;991.95;21458.7;40912.7;560.8;10606.6;4441.7;59656.0;255.93;1003.6;20490.7;4.5;6264.7;34239.9;51.7;45.0;6636.9;107.6;6009.02;17465.12;22497.9;14349.4;239.1;25321.8;40324.2;118.7;8842.1;5.6;50301.8;5740.9;,294
哥伦比亚影片公司,54205.7;11967.2;10368.6;2009.18;,4
新丽传媒股份有限公司,20000.8;144145.5;4967.1;40076.5;,4
乐视影业（北京）有限公司,177.0;68280.2;8614.07;8090.9;14269.6;2004.6;4748.2;9525.0;2257.7;48478.1;52156.7;48856.3;290.26;29654.4;29146.8;1553.5;3028.6;1686.1;2456.0;947.8;7708.3;24808.1;28766.3;6690.48;22348.3;5830.4;12782.3;1819.1;2071.1;21343.1;387.58;12994.5;,32
北京新影联影业有限责任公司,54.7;4365.37;1144.3;168.03;1452.98;896.4;1814.33;498.29;2596.1;1210.4;660.85;23.11;6952.7;2208.8;371.06;14912.7;880.02;,17
北京剧角映画文化传媒有限公司,89.8;688.0;901.4;741.7;412.6;217.7;23.0;,7
中国电影集团公司,244.23;4.0;30.6;7863.7;3744.6;17.1;3539.9;1391.9;8.3;,9
北京大势渡文化传媒,49.2;,1
广州美亚华天下电影发行有限公司,2260.0;72.6;3769.76;8749.09;1672.8;803.9;7047.72;396.4;560.8;175.4;2141.61;,11
北京安石英纳电影发行公司,452.3;,1
北京华信博文化传媒有限公司,42.7;28.1;,2
上海河马动画设计股份有限公司,2515.7;,1
上海电影（集团）有限公司,1878.0;27387.0;3507.7;6777.6;399.7;159.3;931.4;339139.8;170.5;7685.0;2146.6;551.1;522.3;227.4;,14
寰宇影片发行有限公司,2502.11;896.87;,2
北京春秋时代文化有限公司,1245.0;97.81;710.6;170.22;,4
上海电影股份有限公司影视发行分公司,222.2;322.71;41216.1;13382.28;1293.6;241.29;1905.2;363.1;23219.4;28446.9;171.4;13925.04;12493.9;16759.92;266.83;4908.01;74409.7;1283.3;731.23;5449.0;134.5;255.12;213.3;433.9;207.4;8769.2;44.5;3471.57;479.3;1093.9;2728.68;15948.99;37054.1;321.7;304.7;4365.1;100021.35;4597.1;6190.0;6543.9;7965.2;4334.34;1797.1;1203.4;319.2;3116.55;4020.72;415.1;1097.4;90.7;19202.5;3499.18;30833.9;4693.14;,54
国家新闻出版广电总局电影卫星频道节目制作中心,31.1;,1
北京橙天嘉禾影视制作有限公司,4413.65;752.9;258.8;8774.5;584.2;,5
山东龙视天下传媒集团有限公司,40.5;,1
20世纪福克斯电影公司,80267.9;100176.1;58667.7;50313.2;19690.8;24978.8;670.5;6265.0;,8
北京国龙影业发行股份有限公司,2777.4;14.3;56.7;,3
华谊兄弟传媒股份有限公司,11891.7;37113.6;1224.1;8.2;1430.8;5824.77;1188.8;25199.7;12967.9;2559.5;88113.4;6792.8;8624.3;4699.2;776.5;11284.5;21615.2;43428.0;166752.1;5068.3;28636.4;6182.0;5365.4;3961.9;23048.6;8440.8;17137.91;1436.81;219.2;37900.2;551.6;60078.7;8.3;70210.75;10259.5;71380.6;955.2;88304.0;124699.4;,39
宁波枫海传媒科技股份有限公司,1907.1;334.1;52.7;6.2;,4
蘭发行团队,92.4;3131.15;131.0;333.0;1396.9;2303.39;2212.8;349.7;3.9;180.5;413.6;1211.9;504.3;108.2;67.7;628.4;126.03;,17
天津联瑞影业有限公司,2623.7;,1
春秋永乐影视文化投资（北京）有限公司,11.7;,1
上海鼎石影视制作有限公司,205.0;,1
上海银润传媒广告有限公司,2276.3;38.0;761.8;,3
神画制作有限公司,6.9;,1
寰亚电影发行（北京）有限公司,17250.5;10041.5;21095.7;20973.8;1270.6;,5
龙腾艺都（北京）影业投资有限公司,144.9;407.25;,2
北京基点影视文化传媒有限公司,238.3;707.1;1228.2;432.2;85.4;1894.6;607.2;869.8;44.9;399.4;25.5;59.2;1046.3;340.7;1008.6;,15
珠江影业传媒股份有限公司,8268.4;2221.6;3317.6;48.6;2754.1;280.6;4788.3;113.8;673.4;803.8;190.3;14884.3;4439.04;4439.0;7048.1;,15
华海光影北京国际影视文化传媒有限公司,70.44;,1
广东大地电影院线有限公司,3.8;226.1;609.4;,3
北京不亦乐乎电影文化发展有限公司,51494.6;,1
