河北志宝文化传媒有限公司,56.0;,1
哥伦比亚影片公司,37614.2;54205.7;13688.44;10096.5;6792.8;11902.4;11967.2;13796.9;58559.1;40076.5;21458.7;50301.8;,12
富士电视台,20000.8;,1
上海大盈影视文化传播有限公司,177.0;,1
北京泛亚视觉文化传播有限公司,1325.2;,1
北京富宇世纪文化传媒有限公司,54.7;,1
西安索宝影视文化传媒有限公司,89.8;,1
idg中国媒体基金,174.5;,1
凯擘影艺股份有限公司,244.23;,1
四川峨影影视传播有限责任公司,49.2;,1
深圳市金海岸影业有限公司,2260.0;452.3;939.1;,3
相信音乐唱片公司,2089.6;,1
美亚电影制作有限公司,42.7;3769.76;,2
浙江浙影年代文化传播有限公司,39.7;,1
上海河马动画设计股份有限公司,2515.7;1878.0;304.7;931.4;551.74;,5
西安一路阳光影视文化有限责任公司,5.1;,1
香港银都机构有限公司,2502.11;37113.6;28924.1;1430.8;2091.8;3025.4;6140.2;2004.6;4261.7;9525.0;2221.6;4817.68;25303.8;2754.1;23788.0;4362.8;4488.6;56035.2;7051.59;2415.8;5830.4;6273.5;21095.7;20893.5;30823.3;20973.8;888.6;30833.9;10833.1;,29
北京春秋时代文化有限公司,1245.0;754.8;536.6;35993.48;54444.2;581.1;144.2;256.0;,8
上海电影（集团）有限公司,222.2;6289.8;51494.6;13382.28;6149.3;88113.4;6777.6;4908.01;74409.7;3221.5;24.3;3471.57;372.0;98.6;159.3;100021.35;7685.0;13493.53;415.1;560.8;3499.18;98.41;227.4;7048.1;,24
国家新闻出版广电总局电影卫星频道节目制作中心,31.1;2276.3;474.77;0.1;1565.29;332.1;14269.6;1188.8;72.8;1905.2;27.31;25624.6;1.8;168.03;1529.7;40.3;0.0;3228.3;3302.0;452.9;0.1;19542.5;280.0;3936.2;150.8;213.94;117002.8;0.0;3424.33;180.5;7746.83;450.5;18590.48;266.03;14696.0;756.3;217.16;10.1;0.0;762.8;15526.9;69970.9;13392.3;3164.6;2186.85;86963.6;202.5;9.2;761.8;14912.7;213.45;53438.3;2071.1;39.1;19.5;1819.79;8.5;126.5;2813.3;,59
大地时代电影文化传播(北京)有限公司,4413.65;22852.5;435.01;6845.0;244.3;2883.8;,6
