爱情,56,55.920000,2014/9/12,0.5的爱情,2014/9/12,0.5的爱情,0.5的爱情,蒲巴甲;李悦铭;江语晨;龚洁;,北京帧画影视文化传播有限公司;,河北志宝文化传媒有限公司;北京上视之光影视科技有限公司;,邢潇;,
动作/冒险/惊悚,37614.2,37595.600000,2013/1/20,007：大破天幕杀机,2013/1/21,007：大破天幕杀机,007：大破天幕杀机,本·威士肖;丹尼尔·克雷格;拉尔夫·费因斯;海伦·麦克洛瑞;奥拉·拉佩斯;贝纳尼丝·玛尔洛;玛吉·史密斯;娜奥米·哈里斯;朱迪·丹奇;阿尔伯特·芬尼;哈维尔·巴登;迈克尔·g·威尔逊;,华夏电影发行有限责任公司;,哥伦比亚影片公司;联美电影公司;MGM-International Dist. ;,萨姆·门德斯;,
动作/冒险/惊悚/悬疑,54205.7,54161.120000,2015/11/12,007：幽灵党,2015/11/13,007：幽灵党,007：幽灵党,本·威士肖;丹尼尔·克雷格;拉尔夫·费因斯;梶冈润一;娜奥米·哈里斯;斯黛芬尼·西格曼;亚历克斯·马丁;克里斯托弗·瓦尔兹;加斯帕·克里斯滕森;戴夫·巴蒂斯塔;丹尼斯·科洛斯克;安德鲁·斯科特;罗里·金尼尔;蕾雅·赛杜;莫妮卡·贝鲁奇;,哥伦比亚影片公司;华夏电影发行有限责任公司;索尼发行公司;环球影业公司;Sony Pictures Entertainment Inc. ;,哥伦比亚影片公司;米高梅电影公司;Danjaq Productions ;,萨姆·门德斯;,
爱情,20000.8,19990.860000,2013/1/3,101次求婚,2013/2/12,101次求婚,101次求婚,秦海璐;黄渤;高以翔;林志玲;武田铁矢;,新丽传媒股份有限公司;北京联瑞影业有限公司;,富士电视台;威秀电影亚洲有限公司;海宁亚细亚传媒有限公司;,陈正道;,
爱情,177,173.690000,2015/9/4,1980年代的爱情,2015/9/11,1980年代的爱情,1980年代的爱情,杨采钰;芦芳生;,乐视影业（北京）有限公司;北京微影时代科技有限公司;,上海大盈影视文化传播有限公司;中天集团（甘肃）;恩比理（上海）投资咨询有限公司;利川市龙船调影视传媒公司;中共利川市委宣传部;北京达智兴盛文化传媒有限公司;,霍建起;,
灾难/动作/惊悚,,13688.440000,2013/1/3,2012 3D,2012/11/20,2012 3D,2012 3D,约翰·库萨克;奥利弗·普莱特;毕崔斯·罗森;亚历山德烈·豪斯曼;阿曼达·皮特;汤姆·麦卡锡;桑迪·纽顿;摩根·莉莉;伍迪·哈里森;切瓦特·埃加福特;连姆·詹姆斯;丹尼·格洛弗;,华夏电影发行有限责任公司;,哥伦比亚影片公司;The Mark Gordon Company ;,罗兰·艾默里奇;,
,,,,,,,2012喜上加喜,张坚庭;玛莉亚;余慕莲;麦长青;孟瑶;梁小冰;张馨予;高海宁;曾志伟;冯淬帆;邵音音;邵美琪;刘以达;邹凯光;毛舜筠;黄子华;苏永康;车婉婉;陆永;沈卓盈;金刚;高钧贤;朱咪咪;乐曈;陈奂仁;阮兆祥;麦玲玲;鲁芬;何韵诗;龚慈恩;胡渭康;马赛;许绍雄;黄宗泽;,,邵氏兄弟（香港）有限公司;香港电视广播有限公司;,钱国伟;钟澍佳;,
,,,,,,,2012来了,黄小蕾;胡明;巴多;张达明;黄又南;谢宁;迪克牛仔;李承铉;王双宝;田中千绘;李彧;戎祥;,北京云影博纳影视发行有限公司;,北京艾柏文化传媒有限公司;,邢潇;,
爱情,1325.2,1324.840000,2012/12/31,201314,2013/1/1,201314,201314,王璐瑶;姜潮;金晨;牛群;芷玄;郭鑫;郭晓然;,,北京泛亚视觉文化传播有限公司;北京富宇世纪文化传媒有限公司;上海鹏锦影视文化有限公司;北京无限自在文化传播有限公司;,孔令晨;,
爱情,54.7,54.730000,2013/12/31,201413,2014/1/1,201413,201413,杜海涛;彭波;姜潮;李维嘉;连晋;韩英群;刘萌萌;夏一瑶;沈婷婷;,北京新影联影业有限责任公司;福建恒业影业有限公司;北京百思艺腾文化传播有限公司;,北京富宇世纪文化传媒有限公司;广西电影集团有限公司;广西新农合投资发展有限公司;北京百思必达营销策划机构;,卫捷;赵艺然;,
爱情,89.8,130.340000,2014/4/18,201413爱你一世一生,2014/4/18,201413爱你一世一生,201413爱你一世一生,李小萌;邹东孝;盖玺;陈奕静;黄一飞;朱咪咪;刘碧荷;尹田;,北京剧角映画文化传媒有限公司;,西安索宝影视文化传媒有限公司;陕西中博投资集团;陕西大中博文化传媒有限公司;荷亭听雨（北京）文化发展有限公司;北京华映世纪民族电影电视剧制作中心;三亚嘉溢影视传媒有限公司;,何振华;麦咏麟;唐文湘;,
