1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,1,0,0,0,6055.286667,1034.9,56,56,7000000,715.0890771,56
1,0,0,0,0,0,0,0,0,0,0,0,33222.59429,17834.79083,28543.83167,45909.95,399000,715.0890771,37614.2
0,0,0,0,0,0,0,0,0,0,1,0,38427.28756,20031.04545,32181.7081,45909.95,1410000,715.0890771,54205.7
0,1,0,0,0,0,0,0,0,0,0,0,24979.53184,37546.67273,33104.43556,21722.385,1230000,715.0890771,20000.8
0,0,0,0,0,0,0,0,1,0,0,0,177,22347.73957,177,969.1625,628000,715.0890771,177
0,0,0,0,0,0,0,0,0,0,1,0,20998.67259,17834.79083,26152.68188,27242.81333,9700000,715.0890771,13688.44
1,0,0,0,0,0,0,0,0,0,0,0,7729.075185,5974.34671,1025.32,1325.2,2350000,715.0890771,1325.2
1,0,0,0,0,0,0,0,0,0,0,0,4072.795441,4161.705692,615.7375,83.6,318000,715.0890771,54.7
0,0,0,1,0,0,0,0,0,0,0,0,1364.456452,4649.19,2039.325,775.555,12300,715.0890771,89.8
0,0,0,0,0,0,0,0,0,0,1,0,2344.092857,17834.79083,1836.84,174.5,235000,715.0890771,174.5
0,0,0,0,0,0,0,0,1,0,0,0,2479.076897,27268.8877,930.6583333,244.23,1020000,715.0890771,244.23
0,0,0,0,0,0,0,0,0,0,0,1,11318.14053,49.2,49.2,29.55,2020000,715.0890771,49.2
0,0,0,0,0,0,0,0,0,1,0,0,11426.56625,5026.031935,8856.215946,2260,223000,715.0890771,2260
0,0,0,0,0,0,0,0,1,0,0,0,5719.296885,1439.666667,23093.52071,415.11,182000,715.0890771,452.3
0,0,0,0,0,0,0,0,1,0,0,0,3623.59,5974.34671,1229.276667,2089.6,427000,715.0890771,2089.6
0,0,0,0,1,0,0,0,0,0,0,0,11447.25188,37.83333333,4778.537143,42.7,500000,715.0890771,42.7
0,1,0,0,0,0,0,0,0,0,0,0,5749.9796,17834.79083,39.7,39.7,668000,715.0890771,39.7
0,0,0,0,0,0,0,0,1,0,0,0,6729.663939,3536.794375,3967.058,23228.01778,103000,715.0890771,2515.7
0,0,0,0,0,0,0,0,0,1,0,0,6729.663939,21907.95556,2486.918,21093.016,47200,715.0890771,1878
1,0,0,0,0,0,0,0,0,0,0,0,13802.68571,5974.34671,5.1,5.1,3820000,715.0890771,5.1
1,0,0,0,0,0,0,0,0,0,0,0,10144.73836,26157.12511,11789.3181,4421.118333,764000,715.0890771,2502.11
1,0,0,0,0,0,0,0,0,0,0,0,7019.727273,4596.06102,8153.350909,1245,414000,715.0890771,1245
0,0,0,0,0,0,0,0,1,0,0,0,16099.07065,9569.960185,14398.05581,222.2,439000,715.0890771,222.2
0,0,0,0,0,0,0,1,0,0,0,0,1035.589565,677.4,10558.72288,31.1,696000,715.0890771,31.1
0,1,0,0,0,0,0,0,0,0,0,0,15142.44209,11641.50267,35138.46682,6277.84,701000,715.0890771,4413.65
1,0,0,0,0,0,0,0,0,0,0,0,816.6083333,40.5,30.86666667,40.5,82900000,715.0890771,40.5
0,0,0,0,0,1,0,0,0,0,0,0,58518.26604,22687.50764,53171.40143,52660.13333,1980000,82927.505,80267.9
0,0,0,0,1,0,0,0,0,0,0,0,46784.13045,17834.79083,56063.817,52660.13333,1150000,715.0890771,72296.8
0,0,1,0,0,0,0,0,0,0,0,0,6729.663939,949.4666667,2777.4,2777.4,798000,715.0890771,2777.4
0,0,0,0,0,0,0,0,0,0,0,1,6729.663939,5974.34671,411.9944444,5250.444779,6020000,715.0890771,0
0,0,0,0,0,0,0,0,0,1,0,0,21494.91844,23289.27471,20615.63551,11891.7,2150000,715.0890771,11891.7
0,0,0,0,0,0,0,0,0,0,1,0,12923.55667,564.3,28987.03029,1907.1,1630000,715.0890771,1907.1
0,0,1,0,0,0,0,0,0,0,0,0,82,2460.732593,92.4,92.4,1220000,715.0890771,92.4
0,0,0,0,0,0,0,0,0,0,1,0,19765.54672,26486.95286,20935.20034,27127.675,2210000,715.0890771,37113.6
1,0,0,0,0,0,0,0,0,0,0,0,16876.87811,17799.70771,12032.27018,17606.95,11800000,715.0890771,28924.1
1,0,0,0,0,0,0,0,0,0,0,0,16565.94865,17834.79083,11066.20252,17606.95,1060000,715.0890771,6289.8
1,0,0,0,0,0,0,0,0,0,0,0,18913.19297,96630.22111,33068.74982,2458.5,5360000,715.0890771,2623.7
0,0,0,0,0,0,0,0,0,0,1,0,73.84923077,7360.366667,11.7,11.7,1780000,715.0890771,11.7
0,0,0,0,1,0,0,0,0,0,0,0,6764.171111,2510.62,3951.726667,205,1150000,715.0890771,205
0,0,0,0,0,0,0,1,0,0,0,0,21731.05279,3724.283333,10019.10035,3302.6325,2530000,715.0890771,2276.3
0,0,1,0,0,0,0,0,0,0,0,0,1072.7608,17.425,13.74666667,18.675,847000,715.0890771,6.9
0,0,0,0,0,0,0,1,0,0,0,0,19687.24556,27465.09231,16446.06588,12111.3,1050000,715.0890771,17250.5
1,0,0,0,0,0,0,0,0,0,0,0,9303.401515,951.8466667,144.9,144.9,5040000,715.0890771,144.9
1,0,0,0,0,0,0,0,0,0,0,0,9968.69551,991.885,9922.414286,238.3,377000,715.0890771,238.3
0,0,0,0,0,0,0,0,1,0,0,0,12412.2815,4649.19,539.3166667,688,1910000,715.0890771,688
0,0,0,0,0,0,0,0,0,0,0,1,48294.86833,5007.155957,8268.4,4576.2,2920000,715.0890771,8268.4
0,0,0,0,0,0,0,0,1,0,0,0,7453.167308,70.44,70.44,70.44,4370000,715.0890771,70.44
0,0,0,0,0,0,0,1,0,0,0,0,4482.303725,26518.01354,3.8,3.8,35500,3.8,3.8
0,0,0,0,0,0,0,0,0,0,0,1,8431.779231,5974.34671,0.86,0.86,20200,715.0890771,0.86
0,0,0,0,0,0,0,0,0,0,0,1,37786.11906,28465.06167,23831.6909,51494.6,15500000,715.0890771,51494.6
0,0,0,0,0,0,0,0,1,0,0,0,16684.90143,12994.36245,27245.47164,13255.35,22300000,715.0890771,22852.5
1,0,0,0,0,0,0,0,0,0,0,0,20611.45486,17834.79083,51173.28706,23181.20667,33500000,715.0890771,16064.6
0,0,0,0,0,0,0,0,0,1,0,0,6821.952105,5974.34671,38.55,5250.444779,1500000,715.0890771,0
0,0,0,0,0,0,0,1,0,0,0,0,18456.58553,2957.53375,375.4625,329.35,4240000,715.0890771,570.9
0,1,0,0,0,0,0,0,0,0,0,0,18859.12727,16131.75485,25911.02352,6162.779,12000000,715.0890771,6972.1
0,0,0,0,1,0,0,0,0,0,0,0,8977.535152,17657.01292,10202.41667,588.1,4580000,715.0890771,588.1
0,0,0,0,0,0,0,0,1,0,0,0,16042.94462,1677.3775,2430.364286,11315.068,851000,715.0890771,1425
0,0,0,0,0,0,1,0,0,0,0,0,6729.663939,5974.34671,150.92,5250.444779,1830,715.0890771,0
0,0,0,0,0,0,1,0,0,0,0,0,504.2,5974.34671,502.35,502.35,110000,715.0890771,504.2
0,0,0,0,0,0,0,0,1,0,0,0,22480.50381,17874.58687,32582.77475,8577.405,56400000,16922.77,16162.86
0,0,0,0,0,0,0,1,0,0,0,0,732.5,991.885,832.6818182,707.1,1140000,707.1,707.1
0,0,0,0,0,0,0,1,0,0,0,0,2055.552083,991.885,941.4222222,1228.2,212000,715.0890771,1228.2
0,0,0,0,0,0,0,0,0,0,0,1,29507.37767,5974.34671,34300.7856,16225.7,48000000,715.0890771,32232.2
0,0,0,0,0,0,0,0,0,0,1,0,25327.74802,3688.73375,4156.248,22962.35333,12800000,715.0890771,435.01
0,0,0,1,0,0,0,0,0,0,0,0,25753.60283,31499.81257,31646.36672,10588.20333,6080000,715.0890771,14831.8
0,0,0,0,0,0,0,0,0,0,1,0,964.4745455,1214.972727,11260.48849,845.8966667,1450000,715.0890771,265
0,0,0,0,0,0,0,0,1,0,0,0,11328.77478,4.702,35.12,3.2,503000,715.0890771,3.2
0,0,0,0,0,0,0,0,1,0,0,0,15413.85706,259.635,10517.6605,474.77,470000,715.0890771,474.77
0,0,0,0,0,1,0,0,0,0,0,0,13930.70687,8385.488182,16351.53617,11463.355,26300000,10041.5,10041.5
0,0,0,0,0,0,0,0,0,0,0,1,20722.55714,21468.76478,6517.05125,25.14,34100000,715.0890771,25.14
0,0,0,0,0,1,0,0,0,0,0,0,2107.786667,17834.79083,12534.04706,2382.4,325000,715.0890771,2382.4
0,0,0,0,0,0,0,1,0,0,0,0,24478.68015,26486.95286,31126.65157,1224.1,1140000,715.0890771,1224.1
0,0,0,1,0,0,0,0,0,0,0,0,201.975,2118.575,1329.875,261.0666667,3580000,715.0890771,232.4
0,0,0,1,0,0,0,0,0,0,0,0,5651.931538,5390.183415,5324.578154,646.6866667,277000,715.0890771,791.9
0,0,1,0,0,0,0,0,0,0,0,0,5969.461667,595.0681818,1346.85,135.6,1230000,715.0890771,135.6
0,0,0,0,0,0,1,0,0,0,0,0,7911.826491,9569.960185,322.71,322.71,2800000,715.0890771,322.71
0,0,0,0,0,0,0,1,0,0,0,0,252.6166667,254.3,193.4525,132.605,446000,715.0890771,254.3
0,0,0,0,0,1,0,0,0,0,0,0,15757.05138,27294.68953,23817.45,28400.7,802000,715.0890771,28400.7
0,0,1,0,0,0,0,0,0,0,0,0,12525.622,5974.34671,14937.50395,40317.05,713000,715.0890771,1984.15
0,0,0,0,0,0,0,1,0,0,0,0,8562.322456,17715.90972,12778.67116,1028.3,1790000,715.0890771,1028.3
0,0,0,0,0,0,0,0,0,0,0,1,31585.90026,8819.094,10525.95219,11178,2290000,715.0890771,11178
0,1,0,0,0,0,0,0,0,0,0,0,6384.89,1778.161515,389.26,389.26,367000,715.0890771,389.26
