movieName,TotalScreens,normalized
,11088,0.005391922
0.5的爱情,8611,0.004187287
007：大破天幕杀机,369601,0.179746954
007：大破量子危机,415,0.00020134
007：幽灵党,601738,0.292641755
101次求婚,234597,0.114090683
18岁18天,2,4.86328E-07
1980年代的爱情,7058,0.003432019
2012 3D,5,1.94531E-06
201314,45774,0.022260707
201413,7653,0.003721384
201413爱你一世一生,10494,0.005103043
2014艺术影院第一批篇目,12,5.34961E-06
2015年1月艺术影院国产片,2,4.86328E-07
2015法国新浪潮电影回顾展,12,5.34961E-06
2016国家大剧院国际歌剧电影展,3,9.72657E-07
2016年乌兹别克斯坦电影周,1,0
2016年国家大剧院国际歌剧电影展,31,1.45899E-05
2016年意大利电影展映,2,4.86328E-07
2016新西兰电影节,1,0
2016法国电影展映活动,47,2.23711E-05
21岁派对,21697,0.01055138
234说爱你,44913,0.021841978
37次想你,6810,0.00331141
3D食人虫,82835,0.040284522
405谋杀案,2,4.86328E-07
4B青年之4楼B座,34685,0.016867812
5月天诺亚方舟,45731,0.022239795
5颗子弹,2,4.86328E-07
708090之深圳恋歌,7456,0.003625578
80’后,1,0
80后的独立宣言,1128,0.000548092
81号农场之保卫麦咭,79912,0.038862984
81号农场之疯狂的麦咭,37982,0.018471237
9号女神,187,9.04571E-05
B+侦探,499,0.000242192
B区32号,87,4.18242E-05
CCG EXPO动画电影展,6,2.43164E-06
CCG EXPO动画电影展映,1,0
Hello！树先生！,5,1.94531E-06
Hi，高考君,1478,0.000718307
HOLD住爱,11,4.86328E-06
N见钟情,168,8.12168E-05
U盘,3014,0.001465307
X战警2,678,0.000329244
X战警：天启,958907,0.466343161
X战警：背水一战,247,0.000119637
X战警：逆转未来,645256,0.313805792
“杏”福来敲门,57,2.72344E-05
一万年以后,97269,0.047304185
一不留神,10,4.37696E-06
一个人的武林,260727,0.126798442
一个勺子,74393,0.036178938
一个和八个,1,0
一个温州的女人,7543,0.003667888
一个老师的学校,1117,0.000542742
一九四二,2025,0.000984329
一代宗师,319557,0.155409138
一代宗师3D,91244,0.044374057
一八九四&middot;甲午大海战,44,2.09121E-05
一兵一卒,13,5.83594E-06
一切都好,45744,0.022246117
一刻十年,1951,0.00094834
一剑钟情,4,1.45899E-06
一句顶一万句,10,4.37696E-06
一只狗的大学时光,1,0
一号目标,19150,0.009312701
一场风花雪月的事,57275,0.027853969
一夜危机,1955,0.000950286
一夜惊喜,225358,0.109597495
一夜成名,90,4.32832E-05
一家老小向前冲,18082,0.008793303
一座城池,41166,0.020019706
一念天堂,127852,0.062177564
一条叫王子的狗,5847,0.002843075
一棵心中的许愿树,1106,0.000537393
一步之城,64,3.06387E-05
一步之遥,478792,0.232849631
一江明烛,8,3.4043E-06
一生一世,401458,0.195239915
一生有爱,27,1.26445E-05
一触即发,277302,0.134859334
一诺重如山,4,1.45899E-06
一路向前,31897,0.015511929
一路惊喜,137831,0.067030635
一路有你,4,1.45899E-06
一路狂奔,35955,0.017485449
一路顺疯,58769,0.028580544
七小罗汉,27,1.26445E-05
七月与安生,449872,0.218785016
七月半2：前世今生,39586,0.019251307
七月半之恐怖宿舍,56786,0.027616155
万万没想到,461481,0.224430801
万有引力,8,3.4043E-06
万物生长,257145,0.125056414
万箭穿心,1699,0.000825786
三七情缘,4,1.45899E-06
三个和尚,2,4.86328E-07
三个孬家伙,4368,0.002123796
三个未婚妈妈,28,1.31309E-05
三人行,254423,0.123732628
三分钟先生,3,9.72657E-07
三十七,4,1.45899E-06
三只小猪与神灯,69762,0.033926751
三国之见龙卸甲,1151,0.000559278
三城记,57536,0.027980901
三小强,23848,0.011597472
三岔口,69,3.30703E-05
三峡好人,7,2.91797E-06
三更车库,45077,0.021921736
三月情流感,13847,0.006733702
三毛从军记,1,0
三毛流浪记,1,0
三笑之才子佳人,44,2.09121E-05
上学路上,4,1.45899E-06
上海“文学与电影”展映活动,6,2.43164E-06
上海公园,132,6.3709E-05
上海英国电影周,3,9.72657E-07
下一个奇迹,3,9.72657E-07
下一站再爱你,7505,0.003649408
不二神探,363720,0.176886857
不会再有明天,7,2.91797E-06
不再让你孤单,2,4.86328E-07
不再说分手,35960,0.017487881
不可思异,255627,0.124318168
不怕贼惦记,108,5.20371E-05
不惧风暴,272567,0.13255657
不是钱的事,26,1.21582E-05
不是闹着玩的,58,2.77207E-05
不朽的时光,6195,0.003012318
不爱不散,9345,0.004544252
不肯去观音,6939,0.003374146
不能忘却的长征,4,1.45899E-06
不能说的夏天,63702,0.030979601
不能错过,596,0.000289365
不要迷恋姐,926,0.000449854
不见不散,2208,0.001073327
不许动,21,9.72657E-06
不速之客,28240,0.013733426
不需要初恋的夏天,3,9.72657E-07
与时尚同居,1,0
与贼同屋,6330,0.003077972
丑女大翻身,19,8.75391E-06
丑小鸭历险记,31475,0.015306698
丑男大翻身,1123,0.00054566
世纪大阅兵,6,2.43164E-06
丘吉尔的好莱坞生涯,3,9.72657E-07
丛林之王,61503,0.029910165
丛林有情狼,404,0.00019599
东京审判,3,9.72657E-07
东北偏北,8025,0.003902299
东方中国梦,462,0.000224197
东方大港,4,1.45899E-06
东莞女孩,1332,0.000647303
东邪西毒:终极版,22,1.02129E-05
丝路英雄·云镝,3309,0.001608774
丢羊,280,0.000135686
两个人的房间,4,1.45899E-06
中国合伙人,625080,0.303993631
中国好声音之为你转身,22278,0.010833936
丰年,2,4.86328E-07
临时同居,220697,0.107330719
临时约定,241,0.000116719
临沧的诱惑,60,2.86934E-05
临终囧事,51507,0.025048827
为了这片土地,590,0.000286447
为梦想，跑,10,4.37696E-06
为爱放手,5415,0.002632982
举起手来,2,4.86328E-07
乌龙戏凤2012,19,8.75391E-06
乌龟也上网,1,0
乐乐熊奇幻追踪,709,0.00034432
乐翻天,10,4.37696E-06
乐队,256,0.000124014
乔布斯,35488,0.017258334
九局下半,5,1.94531E-06
九层妖塔,635171,0.30890117
九条命,312059,0.151762648
九色鹿,2,4.86328E-07
乡村守望的女人,7,2.91797E-06
乡村里的中国,470,0.000228088
乡间童谣,188,9.09434E-05
乱世护宝,30,1.41035E-05
乱战,11,4.86328E-06
乳娘情,23,1.06992E-05
了不起的盖茨比,112480,0.054701725
二十四城记,1,0
二子开店,2,4.86328E-07
二次曝光,5,1.94531E-06
云上太阳,1,0
云中岗亭,16,7.29493E-06
云中行走,244659,0.118984118
云图,195172,0.094917188
云朵上的羊角花,25,1.16719E-05
云水谣,9,3.89063E-06
云的模样,23,1.06992E-05
五女拜寿,956,0.000464444
五月天追梦3DNA,123,5.93321E-05
五月的声音,5,1.94531E-06
亚瑟和他的迷你王国2,38,1.79941E-05
亚马逊萌猴奇遇记,47752,0.023222664
亡命地中海,40976,0.019927304
