moviename,screens,weighted
,11088,0.008352997
0.5的爱情,8407,0.006333119
007：大破天幕杀机,289586,0.218174681
007：幽灵党,554920,0.418078547
101次求婚,183180,0.138007908
18岁18天,2,7.53405E-07
1980年代的爱情,6938,0.005226368
201314,43585,0.032836388
201413,6676,0.005028976
201413爱你一世一生,9684,0.007295217
2014艺术影院第一批篇目,12,8.28745E-06
2015年1月艺术影院国产片,2,7.53405E-07
2015法国新浪潮电影回顾展,12,8.28745E-06
2016国家大剧院国际歌剧电影展,3,1.50681E-06
2016年乌兹别克斯坦电影周,1,0
2016年国家大剧院国际歌剧电影展,31,2.26021E-05
2016年意大利电影展映,2,7.53405E-07
2016新西兰电影节,1,0
2016法国电影展映活动,47,3.46566E-05
21岁派对,21492,0.016191419
234说爱你,44913,0.033836909
37次想你,6419,0.004835351
3D食人虫,80002,0.060273124
405谋杀案,2,7.53405E-07
4B青年之4楼B座,32846,0.024745575
5月天诺亚方舟,44242,0.033331374
708090之深圳恋歌,7318,0.005512662
80后的独立宣言,1070,0.00080539
81号农场之保卫麦咭,62454,0.04705238
81号农场之疯狂的麦咭,35452,0.026708948
9号女神,187,0.000140133
CCG EXPO动画电影展,6,3.76702E-06
CCG EXPO动画电影展映,1,0
Hi，高考君,739,0.000556013
N见钟情,168,0.000125819
U盘,2522,0.001899333
X战警：天启,752101,0.566635626
X战警：逆转未来,481873,0.363044599
“杏”福来敲门,57,4.21907E-05
一万年以后,95734,0.072125686
一个人的武林,240060,0.180861563
一个勺子,74393,0.056047278
一个和八个,1,0
一个温州的女人,6637,0.004999593
一个老师的学校,1117,0.0008408
一代宗师,271774,0.204755038
一代宗师3D,87512,0.065931193
一兵一卒,13,9.04086E-06
一切都好,45076,0.033959714
一刻十年,1951,0.001469139
一剑钟情,4,2.26021E-06
一句顶一万句,10,6.78064E-06
一号目标,18482,0.013923671
一场风花雪月的事,55298,0.041661016
一夜危机,1909,0.001437496
一夜惊喜,202792,0.152783679
一家老小向前冲,17166,0.012932191
一座城池,40172,0.030265018
一念天堂,126122,0.095020146
一条叫王子的狗,5828,0.004390089
一棵心中的许愿树,1105,0.000831759
一步之城,64,4.74645E-05
一步之遥,445927,0.335962716
一江明烛,1,0
一生一世,307458,0.231639529
一生有爱,27,1.95885E-05
一触即发,273203,0.205831653
一诺重如山,4,2.26021E-06
一路向前,31633,0.023831695
一路惊喜,136813,0.103074795
一路狂奔,33485,0.025227001
一路顺疯,47736,0.03596377
七月与安生,401003,0.302116766
七月半2：前世今生,38263,0.028826768
七月半之恐怖宿舍,43421,0.032712829
万万没想到,456526,0.343948051
万物生长,247256,0.186283063
三七情缘,2,7.53405E-07
三个和尚,2,7.53405E-07
三个孬家伙,4368,0.003290118
三人行,252901,0.190536032
三只小猪与神灯,67529,0.050875908
三城记,56973,0.042922969
三小强,22669,0.017078176
三更车库,43742,0.032954672
三月情流感,13295,0.010015761
三毛从军记,1,0
三毛流浪记,1,0
上海“文学与电影”展映活动,6,3.76702E-06
上海公园,132,9.8696E-05
上海英国电影周,3,1.50681E-06
下一站再爱你,7357,0.005542044
不二神探,297042,0.223792066
不再说分手,35844,0.027004282
不可思异,245227,0.184754405
不惧风暴,246387,0.185628355
不朽的时光,6090,0.004587481
不爱不散,8284,0.006240451
不肯去观音,6682,0.005033496
不能说的夏天,62785,0.047301757
不能错过,559,0.0004204
不要迷恋姐,926,0.000696899
不见不散,2106,0.001585917
不许动,21,1.50681E-05
不速之客,28102,0.021171424
不需要初恋的夏天,3,1.50681E-06
与贼同屋,6310,0.00475323
丑小鸭历险记,30689,0.023120481
丑男大翻身,1104,0.000831005
世纪大阅兵,6,3.76702E-06
丛林之王,60572,0.045634472
东北偏北,7889,0.005942856
东方中国梦,384,0.000288554
东莞女孩,1328,0.000999768
丝路英雄·云镝,3203,0.002412402
丢羊,226,0.000169516
中国合伙人,357626,0.269436333
中国好声音之为你转身,21606,0.016277307
丰年,2,7.53405E-07
临时同居,207724,0.156499471
临时约定,70,5.19849E-05
临沧的诱惑,60,4.44509E-05
临终囧事,44361,0.03342103
为梦想，跑,10,6.78064E-06
为爱放手,5369,0.004044276
乐乐熊奇幻追踪,699,0.000525876
乔布斯,34131,0.0257137
九局下半,5,3.01362E-06
九层妖塔,535005,0.403074494
九条命,282624,0.212929478
九色鹿,2,7.53405E-07
乡村守望的女人,7,4.52043E-06
乡村里的中国,470,0.000353347
乡间童谣,188,0.000140887
乱世护宝,30,2.18487E-05
乳娘情,23,1.65749E-05
了不起的盖茨比,95577,0.072007401
二子开店,2,7.53405E-07
云中岗亭,16,1.13011E-05
云中行走,232338,0.175043773
云图,170711,0.128613705
云朵上的羊角花,25,1.80817E-05
云的模样,23,1.65749E-05
五女拜寿,920,0.000692379
亚马逊萌猴奇遇记,45784,0.034493124
亡命地中海,39698,0.029907904
京城81号,331548,0.249789047
亲亲海豚,21,1.50681E-05
亲兄弟,4,2.26021E-06
亲爱,4005,0.003016632
亲爱的,321173,0.241972474
亲，别怕鬼宅凶灵,11469,0.008640044
人命如天,3,1.50681E-06
人在驴途,246,0.000184584
人生不能重来,172,0.000128832
人皮拼图,35741,0.026926682
人间&middot;小团圆,73262,0.055195177
人间正道,1,0
人间蒸发,19988,0.015058298
今天我休息,2,7.53405E-07
从你的全世界路过,158904,0.119718257
从哪来，到哪去,1563,0.001176818
从天“儿”降,162141,0.122157028
从天儿降,20,1.43147E-05
他是龙,144664,0.108989775
代课老师,6,3.76702E-06
伊宁不眠夜,3,1.50681E-06
伊犁河,20,1.43147E-05
伙头福星,1,0
