date,box,name_meta,moviename,stars,faxing,zhizuo,daoyan,zhizuor,theme
1/1/2013,1310.03,201314,201314,王璐瑶;姜潮;金晨;牛群;芷玄;郭鑫;郭晓然;,,北京泛亚视觉文化传播有限公司;北京富宇世纪文化传媒有限公司;上海鹏锦影视文化有限公司;北京无限自在文化传播有限公司;,孔令晨;,,爱情
1/1/2014,47.38,201413,201413,杜海涛;彭波;姜潮;李维嘉;连晋;韩英群;刘萌萌;夏一瑶;沈婷婷;,北京新影联影业有限责任公司;福建恒业影业有限公司;北京百思艺腾文化传播有限公司;,北京富宇世纪文化传媒有限公司;广西电影集团有限公司;广西新农合投资发展有限公司;北京百思必达营销策划机构;,卫捷;赵艺然;,,爱情
12/9/2014,53.92,0.5的爱情,0.5的爱情,蒲巴甲;李悦铭;江语晨;龚洁;,北京帧画影视文化传播有限公司;,河北志宝文化传媒有限公司;北京上视之光影视科技有限公司;,邢潇;,,爱情
21/1/2013,32201.4,007：大破天幕杀机,007：大破天幕杀机,本·威士肖;丹尼尔·克雷格;拉尔夫·费因斯;海伦·麦克洛瑞;奥拉·拉佩斯;贝纳尼丝·玛尔洛;玛吉·史密斯;娜奥米·哈里斯;朱迪·丹奇;阿尔伯特·芬尼;哈维尔·巴登;迈克尔·g·威尔逊;,华夏电影发行有限责任公司;,哥伦比亚影片公司;联美电影公司;MGM-International Dist. ;,萨姆·门德斯;,,动作/冒险/惊悚
13/11/2015,51927.26,007：幽灵党,007：幽灵党,本·威士肖;丹尼尔·克雷格;拉尔夫·费因斯;梶冈润一;娜奥米·哈里斯;斯黛芬尼·西格曼;亚历克斯·马丁;克里斯托弗·瓦尔兹;加斯帕·克里斯滕森;戴夫·巴蒂斯塔;丹尼斯·科洛斯克;安德鲁·斯科特;罗里·金尼尔;蕾雅·赛杜;莫妮卡·贝鲁奇;,哥伦比亚影片公司;华夏电影发行有限责任公司;索尼发行公司;环球影业公司;Sony Pictures Entertainment Inc. ;,哥伦比亚影片公司;米高梅电影公司;Danjaq Productions ;,萨姆·门德斯;,,动作/冒险/惊悚/悬疑
12/2/2013,17796.94,101次求婚,101次求婚,秦海璐;黄渤;高以翔;林志玲;武田铁矢;,新丽传媒股份有限公司;北京联瑞影业有限公司;,富士电视台;威秀电影亚洲有限公司;海宁亚细亚传媒有限公司;,陈正道;,,爱情
11/9/2015,167.71,1980年代的爱情,1980年代的爱情,杨采钰;芦芳生;,乐视影业（北京）有限公司;北京微影时代科技有限公司;,上海大盈影视文化传播有限公司;中天集团（甘肃）;恩比理（上海）投资咨询有限公司;利川市龙船调影视传媒公司;中共利川市委宣传部;北京达智兴盛文化传媒有限公司;,霍建起;,,爱情
18/4/2014,128.24,201413爱你一世一生,201413爱你一世一生,李小萌;邹东孝;盖玺;陈奕静;黄一飞;朱咪咪;刘碧荷;尹田;,北京剧角映画文化传媒有限公司;,西安索宝影视文化传媒有限公司;陕西中博投资集团;陕西大中博文化传媒有限公司;荷亭听雨（北京）文化发展有限公司;北京华映世纪民族电影电视剧制作中心;三亚嘉溢影视传媒有限公司;,何振华;麦咏麟;唐文湘;,,爱情
21/11/2014,168.82,21岁派对,21岁派对,迈尔斯·特勒;斯盖拉·阿斯丁;丹尼尔·哈奈特;莎拉·麦森;乔纳森·凯兹;丹尼尔·博克;拉塞尔·霍奇金森;杰夫t·布科;贾斯汀·钱;邦妮·本特利;琼斯·罗兰;,华夏电影发行有限责任公司;,idg中国媒体基金;,斯考特·摩尔;乔恩·卢卡斯;,,喜剧
24/12/2014,42.98,37次想你,37次想你,白冰;付辛博;吉杰;谭维维;钟伟强;傅颖;,北京大势渡文化传媒;水母互动（天津）科技有限公司;,四川峨影影视传播有限责任公司;成都宁歌文化传播有限公司;北京蓝白红文化传媒有限公司;,郭廷波;,,爱情/青春
