Moviename,month,weight
201314,1,0.08189636323052459
201413,1,0.08189636323052459
0.5的爱情,9,0.09156828525468516
007：大破天幕杀机,1,0.08189636323052459
007：幽灵党,11,0.05018587969068192
101次求婚,2,0.11816418032921183
1980年代的爱情,9,0.09156828525468516
201413爱你一世一生,4,0.0919951917211108
21岁派对,11,0.05018587969068192
37次想你,12,0.08869781338527857
3D食人虫,10,0.03635877373643945
4B青年之4楼B座,9,0.09156828525468516
5月天诺亚方舟,9,0.09156828525468516
708090之深圳恋歌,5,0.057518920082634255
80后的独立宣言,2,0.11816418032921183
81号农场之保卫麦咭,9,0.09156828525468516
81号农场之疯狂的麦咭,10,0.03635877373643945
U盘,1,0.08189636323052459
X战警：逆转未来,5,0.057518920082634255
X战警：天启,6,0.0994807927657334
阿里巴巴2所罗门封印,4,0.0919951917211108
阿里巴巴大盗奇兵,5,0.057518920082634255
阿嬷的梦中情人,2,0.11816418032921183
啊朋友还钱,12,0.08869781338527857
爱，很美,7,0.1285874696349652
爱爱囧事,8,0.08684763728338371
爱别离,9,0.09156828525468516
爱宠大机密,8,0.08684763728338371
爱的“蟹”逅,9,0.09156828525468516
爱丽丝梦游仙境2：镜中奇遇记,5,0.057518920082634255
爱你不等来生,12,0.08869781338527857
爱拼北京,10,0.03635877373643945
爱情不NG,2,0.11816418032921183
爱情狂想曲,11,0.05018587969068192
爱情麻辣烫之情定终身,3,0.06869869288535177
爱情魔发师,7,0.1285874696349652
爱情银行,3,0.06869869288535177
爱神,3,0.06869869288535177
爱我就陪我看电影,4,0.0919951917211108
爱在星空下,8,0.08684763728338371
爱之初体验,8,0.08684763728338371
安德的游戏,1,0.08189636323052459
安妮：纽约奇缘,1,0.08189636323052459
暗恋99天,1,0.08189636323052459
暗杀,9,0.09156828525468516
奥拉星：进击圣殿,7,0.1285874696349652
奥林匹斯的陷落,12,0.08869781338527857
澳门风云,1,0.08189636323052459
澳门风云2,2,0.11816418032921183
澳门风云3,2,0.11816418032921183
巴霍巴利王：开端,7,0.1285874696349652
巴啦啦小魔仙,1,0.08189636323052459
巴啦啦小魔仙之魔法的考验,1,0.08189636323052459
巴啦啦小魔仙之魔箭公主,10,0.03635877373643945
巴黎假期,7,0.1285874696349652
巴黎淘气帮,2,0.11816418032921183
爸爸的假期,2,0.11816418032921183
爸爸的木房子,8,0.08684763728338371
爸爸去哪儿,1,0.08189636323052459
爸爸去哪儿2,2,0.11816418032921183
爸爸我来救你了,1,0.08189636323052459
白发魔女传之明月天国,7,0.1285874696349652
白狐,9,0.09156828525468516
白日焰火,3,0.06869869288535177
白雪公主和三只小猪,8,0.08684763728338371
白雪公主之矮人力量,8,0.08684763728338371
白雪公主之神秘爸爸,8,0.08684763728338371
白幽灵传奇之绝命逃亡,4,0.0919951917211108
百变爱人,4,0.0919951917211108
百家乐翻天,4,0.0919951917211108
百鸟朝凤,5,0.057518920082634255
百团大战,8,0.08684763728338371
百万爱情宝贝,6,0.0994807927657334
百星酒店,2,0.11816418032921183
斑马总动员,12,0.08869781338527857
伴我同行,5,0.057518920082634255
宝贝，对不起,1,0.08189636323052459
宝贝当家,7,0.1285874696349652
宝贝当家,7,0.1285874696349652
宝米恰恰,1,0.08189636323052459
暴疯语,4,0.0919951917211108
暴力街区,8,0.08684763728338371
暴躁天使,11,0.05018587969068192
暴走吧，女人,3,0.06869869288535177
暴走神探,1,0.08189636323052459
悲惨世界,2,0.11816418032921183
北回归线,10,0.03635877373643945
北京&middot;纽约,3,0.06869869288535177
北京;纽约,3,0.06869869288535177
北京爱情故事,2,0.11816418032921183
北京纽约,3,0.06869869288535177
北京时间,12,0.08869781338527857
北京遇上西雅图,3,0.06869869288535177
北京遇上西雅图之不二情书,4,0.0919951917211108
北漂鱼,6,0.0994807927657334
背水一战,10,0.03635877373643945
被解救的姜戈,5,0.057518920082634255
被偷走的那五年,8,0.08684763728338371
奔爱,2,0.11816418032921183
奔驰的大葱,1,0.08189636323052459
奔跑吧！兄弟,1,0.08189636323052459
笔仙Ⅱ,7,0.1285874696349652
笔仙Ⅲ,7,0.1285874696349652
笔仙诡影,5,0.057518920082634255
笔仙惊魂3,4,0.0919951917211108
笔仙魔咒,10,0.03635877373643945
笔仙撞碟仙,7,0.1285874696349652
笔仙撞碟仙,7,0.1285874696349652
毕业那年分手季,10,0.03635877373643945
蝙蝠别墅,9,0.09156828525468516
蝙蝠侠大战超人：正义黎明,3,0.06869869288535177
变身超人,4,0.0919951917211108
变形金刚4：绝迹重生,6,0.0994807927657334
别跟我谈高富帅,5,0.057518920082634255
别开门,5,0.057518920082634255
别惹我,3,0.06869869288535177
别有动机,9,0.09156828525468516
冰川时代：融冰之灾,10,0.03635877373643945
冰川时代5：星际碰撞,8,0.08684763728338371
冰封：重生之门,4,0.0919951917211108
冰河追凶,4,0.0919951917211108
冰雪女王,8,0.08684763728338371
冰雪奇缘,2,0.11816418032921183
波鲁鲁冰雪大冒险,1,0.08189636323052459
博物馆奇妙夜3,1,0.08189636323052459
搏击迷城,6,0.0994807927657334
哺乳期的女人,5,0.057518920082634255
不爱不散,1,0.08189636323052459
不二神探,6,0.0994807927657334
不见不散,2,0.11816418032921183
不惧风暴,9,0.09156828525468516
不可思异,12,0.08869781338527857
不肯去观音,7,0.1285874696349652
不能错过,5,0.057518920082634255
不能说的夏天,10,0.03635877373643945
不速之客,4,0.0919951917211108
不要迷恋姐,3,0.06869869288535177
不再说分手,8,0.08684763728338371
步步追魂,11,0.05018587969068192
怖偶,5,0.057518920082634255
菜鸟,3,0.06869869288535177
残团,5,0.057518920082634255
拆散专家,11,0.05018587969068192
超凡蜘蛛侠2,5,0.057518920082634255
超级保镖,7,0.1285874696349652
超级保镖,7,0.1285874696349652
超级经纪人,9,0.09156828525468516
超萌英雄,7,0.1285874696349652
超脑48小时,5,0.057518920082634255
超能查派,5,0.057518920082634255
超能陆战队,2,0.11816418032921183
超能太阳鸭,7,0.1285874696349652
超能太阳鸭,7,0.1285874696349652
超能兔战队,5,0.057518920082634255
超人：钢铁之躯,6,0.0994807927657334
超体,10,0.03635877373643945
超验骇客,4,0.0919951917211108
沉睡魔咒,6,0.0994807927657334
城市游戏,5,0.057518920082634255
赤道,4,0.0919951917211108
赤警威龙,7,0.1285874696349652
赤焰战场2,11,0.05018587969068192
冲锋车,4,0.0919951917211108
冲锋号,5,0.057518920082634255
冲锋战警,11,0.05018587969068192
冲上云霄,2,0.11816418032921183
丑小鸭历险记,7,0.1285874696349652
初恋未满,7,0.1285874696349652
厨子戏子痞子,3,0.06869869288535177
触不可及,9,0.09156828525468516
穿越火线,9,0.09156828525468516
床下有人2,8,0.08684763728338371
