Moviename,Type,weight
201314,爱情,0.24008282951345553
201413,爱情,0.24008282951345553
0.5的爱情,爱情,0.24008282951345553
007：大破天幕杀机,动作/冒险/惊悚,0.9727442506655609
007：幽灵党,动作/冒险/惊悚/悬疑,1.0700205379554142
101次求婚,爱情,0.24008282951345553
1980年代的爱情,爱情,0.24008282951345553
201413爱你一世一生,爱情,0.24008282951345553
21岁派对,喜剧,0.28656422771478607
37次想你,爱情/青春,0.30176794525395023
3D食人虫,惊悚/科幻/灾难,0.34845488731794527
4B青年之4楼B座,喜剧/爱情,0.5266470572282416
5月天诺亚方舟,纪录片/音乐/歌舞,0.010007781069673078
708090之深圳恋歌,爱情/剧情/青春/励志,0.3702696746336186
80后的独立宣言,剧情/青春/励志,0.13018684512016307
81号农场之保卫麦咭,动画,0.09155176631475245
81号农场之疯狂的麦咭,动画,0.09155176631475245
U盘,喜剧,0.28656422771478607
X战警：逆转未来,科幻/动作/冒险,1.0234951099209892
X战警：天启,动作/科幻/冒险,1.0234951099209892
阿里巴巴2所罗门封印,动画/喜剧/冒险,0.7115211401389963
阿里巴巴大盗奇兵,动画/喜剧/冒险,0.7115211401389963
阿嬷的梦中情人,爱情/喜剧,0.5266470572282416
啊朋友还钱,喜剧,0.28656422771478607
爱，很美,爱情,0.24008282951345553
爱爱囧事,爱情/喜剧/青春,0.5883321729687363
爱别离,爱情,0.24008282951345553
爱宠大机密,动画/喜剧,0.3781159940295385
爱的“蟹”逅,爱情,0.24008282951345553
爱丽丝梦游仙境2：镜中奇遇记,奇幻/冒险,0.40037371508435166
爱你不等来生,爱情/励志,0.2496574373820632
爱拼北京,爱情,0.24008282951345553
爱情不NG,喜剧/爱情,0.5266470572282416
爱情狂想曲,爱情/喜剧,0.5266470572282416
爱情麻辣烫之情定终身,爱情,0.24008282951345553
爱情魔发师,喜剧/爱情,0.5266470572282416
爱情银行,爱情,0.24008282951345553
爱神,爱情,0.24008282951345553
爱我就陪我看电影,喜剧/爱情,0.5266470572282416
爱在星空下,剧情/爱情,0.2990099510245162
爱之初体验,喜剧/爱情/青春,0.5883321729687363
安德的游戏,动作/科幻,0.6900899638115315
安妮：纽约奇缘,喜剧/家庭,0.31976645386458546
