20世纪福克斯电影公司,22336.51;49864.21;659.66;659.66;69994.74;19235.33;48450.97;5992.35;76299.17,9
华夏电影发行有限责任公司,22336.51;49864.21;659.66;659.66;69994.74;19235.33;48450.97;5992.35;2918.67;294.83;1644.58;6060.21;730.92;730.92;4804.77;80646.4;3429.41;1621.23;738.13;10616.82;32091.39;36519.86;111733.85;10566.71;138775.14;33317.13;9416.46;213.53;32560.88;5099.26;39362.42;1192.31;3510.15;10279.91;51927.26;9431.34;9380.03;32201.4;168.82;36.01;61321.19;11040.8;331.03;4471.64;3932.36;11109.45;1758.83;5316.6;4903.84;156849.32;20614.89;25172.98;10298.3;11.54;6.94;47170.25;34197.35;12063.38;25641.3;927.23;679.72;2511.71;113.57;113.57;145.51;145.51;196.32;17065.16;2077.26;42.34;797.84;7888.77;10266.09;2165.98;3188.58;131747.2;113.37;47519.74;8.97;64.79;1.99;18797.69;2565.3;21792.7;54501.84;55038.02;35605.54;35605.54;37267.2;4390.21;22359.05;14155.14;2074.18;13476.19;32368.23;7806.18;3181.89;3503.42;16383.58;139.49;2236.32;10150.32;395.29;6905.7;7.5;4.16;31185.45;5659.57;1289.78;16283.72;63.36;56222.47;1926.28;4681.75;57.01;35365.42;11325.13;2466.3;51427.48;27499.38;187.19;7.43;18.56;9487.26;3136.39;1209.88;2.66;27829.32;55.07;384.77;2301.32;19832.71;233.41;2786.04;8.99;37719.75;195358.45;23.95;12205.6;29344.14;11528.38;1.8;552.34;541.34;4637.22;19.13;856.03;41999.6;2386.42;29646.2;6266.16;830.03;100.91;139.26;25640.61;58243.15;31.3;35046.51;3.48;736.12;15729.54;6162.56;13922.91;12557.92;17.7;48579.97;388.25;433.72;9.98;442.68;20692.58;39.85;8153.92;15409.77;8694.8;797.4;57583.4;71290.65;34828.33;15547.38;634.69;742.13;5973.12;5901.69;19261.36;39074.66;4194.73;6213.41;643.64;5874.95;270.39;13332.7;263.81;8646.49;35145.2;15.95;51765.95;203.98;769.4;38.54;5395.23;67.83;650.53;32924.21;6094.4;3188.19;52.58;2422.48;12980.02;7005.19;100234.58;69.69;47572.38;959.72;18627.33;3622.96;3733.07;305.97;263.27;262.72;8.68;79.94;6124.61;25136.87;37151.44;9905.05;1005.95;18814.79;16451.77;19701.61;5417.22;43745.36;112.58;151.76;1685.59;38.43;11051.44;56.2;285.85;8724.18;14972.14;28177.12;17265.94;28295.43;92.35;5317.56;5317.56;37103.04;359.95;1611.7;15325.51;45789.54;3649.47;66554.2;68051.6;70316.87;96434.81;1221.57;6272.47;6272.47;15768.07;665.47;25870.79;19078.61;4298.8;7090.28;100.87;939.27;59078.07;87872.52;1029.31;54.07;562.66;136843.87;40794.54;491.91;29085.89;4841.82;39373.97;37018.78;35702.84;9348.02;55807.11;78093.51;68193.49;21077.65;210.56;5675.14;27971.77;18349.05;18349.05;1097.03;113.22,293
Big Picture 2 Films ,49864.21;69994.74;19235.33;9416.46;8724.18,5
Contender ,659.66;659.66,2
Seville Pictures ,659.66;659.66,2
HanWay Films ,659.66;659.66,2
中国电影集团公司,659.66;659.66;48450.97;5992.35;76299.17;2315.95;60404.29;40077.74;9054.52;3499.66;42705.19;10566.71;138775.14;33317.13;71545.56;28532.78;62707.87;1088.56;412.98;607.6;607.6;7771.45;9957.45;105.08;241.19;71290.65;34828.33;8724.18;59078.07;87872.52;949.3;37018.78;80.92;80.92;273226.86;8393.75;742.63;926.27;4741.99;55.66;3203.86;3368.16;29.57;3519.63;14.97;3733.78;1371.43;7692.99;7692.99;71.53;2.31,51
Odeon ,69994.74;22843.4;11824.55;60404.29;1621.23;813.98,6
Twentieth Century Fox C.I.S. ,69994.74,1
Westec Media Limited ,69994.74;19235.33;22843.4;138775.14;10279.91;34828.33;9905.05,7
二十世纪福斯电影公司,69994.74;48450.97;40077.74,3
二十世纪福斯公司,69994.74;48450.97;40077.74;33317.13,4
20世纪福克斯阿根廷分公司,69994.74;48450.97;40077.74,3
SF Film Finland ,69994.74;48450.97;40077.74;28532.78,4
Sena ,69994.74,1
二十世纪福斯德国分公司,69994.74;48450.97;40077.74,3
